id,name,image,discount_percentage
53,Opela,http://dummyimage.com/150x100.png/ff4444/ffffff,15.27
54,Kanlam,http://dummyimage.com/122x100.png/5fa2dd/ffffff,28.12
55,Alphazap,http://dummyimage.com/146x100.png/ff4444/ffffff,22.91
56,Hatity,http://dummyimage.com/208x100.png/ff4444/ffffff,12.58
57,Voltsillam,http://dummyimage.com/138x100.png/cc0000/ffffff,38.38
58,Tampflex,http://dummyimage.com/224x100.png/cc0000/ffffff,8.52
59,Duobam,http://dummyimage.com/122x100.png/cc0000/ffffff,30.89
60,Temp,http://dummyimage.com/133x100.png/ff4444/ffffff,35.3
61,Stronghold,http://dummyimage.com/220x100.png/5fa2dd/ffffff,6.88
62,Sub-Ex,http://dummyimage.com/144x100.png/dddddd/000000,10.18
63,Bamity,http://dummyimage.com/225x100.png/cc0000/ffffff,22.15
64,Tampflex,http://dummyimage.com/153x100.png/5fa2dd/ffffff,25.16
65,Daltfresh,http://dummyimage.com/149x100.png/5fa2dd/ffffff,6.33
66,Rank,http://dummyimage.com/107x100.png/cc0000/ffffff,1.47
67,Zamit,http://dummyimage.com/247x100.png/5fa2dd/ffffff,12.68
68,Overhold,http://dummyimage.com/151x100.png/dddddd/000000,26.94
69,Rank,http://dummyimage.com/238x100.png/cc0000/ffffff,24.21
70,Bytecard,http://dummyimage.com/182x100.png/cc0000/ffffff,13.65
71,Holdlamis,http://dummyimage.com/199x100.png/5fa2dd/ffffff,2.17
72,Stringtough,http://dummyimage.com/236x100.png/ff4444/ffffff,25.06
73,Voltsillam,http://dummyimage.com/237x100.png/dddddd/000000,35.97
74,Duobam,http://dummyimage.com/235x100.png/cc0000/ffffff,18.59
75,Home Ing,http://dummyimage.com/179x100.png/5fa2dd/ffffff,32.81
76,Fixflex,http://dummyimage.com/244x100.png/dddddd/000000,1.22
77,Trippledex,http://dummyimage.com/216x100.png/5fa2dd/ffffff,3.45
78,Bitwolf,http://dummyimage.com/199x100.png/cc0000/ffffff,27.74
79,Fintone,http://dummyimage.com/215x100.png/5fa2dd/ffffff,21.38
80,Latlux,http://dummyimage.com/190x100.png/ff4444/ffffff,26.9
81,Flexidy,http://dummyimage.com/189x100.png/cc0000/ffffff,32.1
82,Voltsillam,http://dummyimage.com/196x100.png/5fa2dd/ffffff,13.57
83,Kanlam,http://dummyimage.com/109x100.png/5fa2dd/ffffff,38.68
84,Flexidy,http://dummyimage.com/146x100.png/dddddd/000000,12.09
85,Aerified,http://dummyimage.com/225x100.png/5fa2dd/ffffff,1.47
86,Fintone,http://dummyimage.com/204x100.png/cc0000/ffffff,15.76
87,Alpha,http://dummyimage.com/183x100.png/5fa2dd/ffffff,20.48
88,Bitchip,http://dummyimage.com/192x100.png/cc0000/ffffff,20.18
89,Andalax,http://dummyimage.com/162x100.png/ff4444/ffffff,4.76
90,Zathin,http://dummyimage.com/103x100.png/ff4444/ffffff,9.16
91,Latlux,http://dummyimage.com/211x100.png/5fa2dd/ffffff,38.63
92,Y-Solowarm,http://dummyimage.com/166x100.png/cc0000/ffffff,36.26
93,Holdlamis,http://dummyimage.com/144x100.png/5fa2dd/ffffff,5.92
94,Stim,http://dummyimage.com/125x100.png/cc0000/ffffff,12.64
95,Asoka,http://dummyimage.com/179x100.png/ff4444/ffffff,9.35
96,Aerified,http://dummyimage.com/112x100.png/dddddd/000000,35.0
97,Stronghold,http://dummyimage.com/194x100.png/dddddd/000000,19.97
98,Zathin,http://dummyimage.com/125x100.png/ff4444/ffffff,3.28
99,Keylex,http://dummyimage.com/148x100.png/cc0000/ffffff,19.24
100,Duobam,http://dummyimage.com/185x100.png/5fa2dd/ffffff,39.61
